team,seed,region,kenpom_Elite8,yahoo_Elite8,value_Elite8,kenpom_Final4,yahoo_Final4,value_Final4,kenpom_Final,yahoo_Final,value_Final,kenpom_Champ,yahoo_Champ,value_Champ
Duke,1,E,0.689608,0.7845749999999999,0.8789573973170188,0.528029,0.6312789999999999,0.8364431574628651,0.352779,0.47533099999999995,0.7421754524741707,0.213534,0.283718,0.7526276091048153
Michigan,1,MW,0.707049,0.8082290000000001,0.8748127077845511,0.49869,0.601808,0.8286529923164864,0.307417,0.279887,1.0983611243108826,0.18386,0.142875,1.286859142607174
Arizona,1,W,0.686482,0.7681910000000001,0.8936345257885083,0.494496,0.590978,0.836741807647662,0.299825,0.413745,0.7246613252123894,0.179471,0.21918700000000002,0.8188031224479553
Florida,1,S,0.532825,0.762984,0.6983436087781657,0.302284,0.410014,0.7372528742920974,0.156736,0.136492,1.1483163848430675,0.076044,0.062829,1.2103328080981712
Houston,2,S,0.436377,0.62608,0.6969987860976233,0.250477,0.357738,0.7001688386472782,0.127943,0.141536,0.903960829753561,0.060993,0.057416999999999996,1.0622812059146247
Iowa State,2,MW,0.49658,0.543119,0.9143115965377754,0.231748,0.18645199999999998,1.2429365198549762,0.113768,0.053706,2.1183480430491937,0.054043,0.020122,2.685766822383461
Illinois,3,S,0.407724,0.218466,1.866304138859136,0.222622,0.102133,2.1797264351384955,0.107572,0.034029,3.1611860471950397,0.048175,0.012282,3.92240677414102
Purdue,2,W,0.46706,0.527874,0.8847944774700024,0.208808,0.15659499999999998,1.3334269931990166,0.094626,0.072594,1.303496156707166,0.042502,0.030834,1.3784134397094117
UConn,2,E,0.355107,0.499082,0.7115203513651063,0.129103,0.137483,0.9390470094484409,0.053839,0.071875,0.749064347826087,0.019068,0.0353,0.5401699716713881
Michigan State,3,E,0.328377,0.36412,0.9018373063825111,0.12144,0.09253299999999999,1.312396658489404,0.051873,0.041052,1.263592516807951,0.018516,0.014221,1.3020181421840942
Gonzaga,3,W,0.315836,0.298758,1.0571633228231545,0.117914,0.094137,1.2525786885071757,0.044702,0.04551,0.9822456602944407,0.016792,0.018187,0.9232968603947876
Vanderbilt,5,S,0.189446,0.107765,1.7579548090753028,0.079534,0.027789,2.862067724639245,0.030341,0.007305000000000001,4.153456536618754,0.010418,0.00255,4.085490196078431
Virginia,3,MW,0.23096,0.246006,0.9388388901083713,0.077955,0.070836,1.1004997458919195,0.028376,0.021762999999999998,1.3038643569360842,0.009952,0.007379,1.3486922347201518
Nebraska,4,S,0.185022,0.060148,3.076112256434129,0.072558,0.017993,4.032568220974824,0.025793,0.005861,4.400784849001877,0.008066,0.002692,2.9962852897473997
Arkansas,4,W,0.159691,0.10730600000000001,1.4881833261886566,0.071994,0.063762,1.1291051096264233,0.023826,0.028637000000000003,0.8320005587177427,0.007845,0.012238,0.6410361170125837
St. John's,5,E,0.12729,0.099919,1.2739318848267096,0.062086,0.053666,1.1568963589609809,0.022937,0.022879999999999998,1.0024912587412589,0.006972,0.010541,0.6614173228346456
Tennessee,6,MW,0.158326,0.09324,1.698048048048048,0.051526,0.018314,2.8134760292672274,0.018043,0.005867,3.0753366286006476,0.006042,0.002327,2.596476149548775
Alabama,4,MW,0.128249,0.092089,1.3926636188904211,0.054786,0.039906000000000004,1.3728762592091415,0.018192,0.011966000000000001,1.5203075380244024,0.005901,0.004409,1.3383987298707192
Louisville,6,E,0.172133,0.045087,3.817796704149755,0.052452,0.006391,8.207166327648256,0.018767,0.002455,7.644399185336048,0.005465,0.001086,5.032228360957643
Texas Tech,5,MW,0.112741,0.047737999999999996,2.3616615693996397,0.047304,0.017363,2.724413983758567,0.01578,0.005647,2.7944041083761286,0.005067,0.00207,2.447826086956522
Kansas,4,E,0.114286,0.07760500000000001,1.4726628438889244,0.051271,0.040601000000000005,1.2628014088322945,0.017287,0.023073999999999997,0.7491982317760251,0.004753,0.014072,0.33776293348493464
Wisconsin,5,W,0.09304,0.064108,1.451300929681163,0.036438,0.027655,1.3175917555595733,0.010108,0.013863,0.7291351078410157,0.002805,0.008254000000000001,0.33983523140295613
