pool_size,team,pool_win_prob
10,Duke,0.1876
10,Michigan,0.1932
10,Arizona,0.1972
10,Florida,0.1496
10,Houston,0.1418
10,Iowa State,0.138
10,Illinois,0.142
10,Purdue,0.1314
10,UConn,0.1084
10,Michigan State,0.1054
10,Gonzaga,0.1032
10,Vanderbilt,0.0916
10,Virginia,0.0798
10,Nebraska,0.0838
10,Arkansas,0.0868
10,SMU,0.0294
10,NC State,0.0168
10,UMBC,0.0144
10,Lehigh,0.0178
20,Duke,0.095
20,Michigan,0.1046
20,Arizona,0.1022
20,Florida,0.098
20,Houston,0.086
20,Iowa State,0.0792
20,Illinois,0.0898
20,Purdue,0.0818
20,UConn,0.0596
20,Michigan State,0.0622
20,Gonzaga,0.0498
20,Vanderbilt,0.047
20,Virginia,0.0414
20,Nebraska,0.0478
20,Arkansas,0.0444
20,SMU,0.0086
20,NC State,0.0064
20,UMBC,0.0042
20,Lehigh,0.0046
50,Duke,0.0286
50,Michigan,0.0464
50,Arizona,0.0336
50,Florida,0.0502
50,Houston,0.0512
50,Iowa State,0.061
50,Illinois,0.0676
50,Purdue,0.0516
50,UConn,0.0286
50,Michigan State,0.0446
50,Gonzaga,0.0412
50,Vanderbilt,0.0316
50,Virginia,0.0292
50,Nebraska,0.0324
50,Arkansas,0.0322
50,SMU,0.0016
50,NC State,0.0026
50,UMBC,0.0014
50,Lehigh,0.0
250,Duke,0.0052
250,Michigan,0.0072
250,Arizona,0.0052
250,Florida,0.014
250,Houston,0.014
250,Iowa State,0.0354
250,Illinois,0.057
250,Purdue,0.0222
250,UConn,0.0204
250,Michigan State,0.0222
250,Gonzaga,0.0228
250,Vanderbilt,0.025
250,Virginia,0.0216
250,Nebraska,0.0198
250,Arkansas,0.019
250,SMU,0.0008
250,NC State,0.0012
250,UMBC,0.0
250,Lehigh,0.0
