team,seed,region,kenpom_champ,betting_prob,actual_prob,public_pct,value_ratio
Duke,1,East,0.213534,0.1652517613975795,0.1942211045590318,0.2842111062693774,0.6833691586103873
Michigan,1,Midwest,0.18386,0.1512601934989286,0.17082007739957145,0.1431233189583928,1.1935167423641868
Arizona,1,West,0.179471,0.12910293859185898,0.1593237754367436,0.21956795039393348,0.725624004554836
Florida,1,South,0.076044,0.08813427274537573,0.0808801090981503,0.06293819777313639,1.2850718952850597
Houston,2,South,0.060993,0.07344522728781311,0.06597389091512525,0.05751679163348409,1.1470370485115473
Iowa State,2,Midwest,0.054043,0.050846695814639846,0.052764478325855936,0.020156972347022083,2.6176787573780227
Illinois,3,South,0.048175,0.0330503522795159,0.04212514091180636,0.012303346305840632,3.423876713265297
Purdue,2,West,0.042502,0.041312940349394874,0.042026376139757946,0.030887589968595513,1.3606233501055804
UConn,2,East,0.019068,0.06009154959911982,0.03547741983964793,0.03536135194562565,1.0032823375701458
Gonzaga,3,West,0.016792,0.03147652598049133,0.022665810392196534,0.01821860928711314,1.2441021175106437
Michigan State,3,East,0.018516,0.025423347907319923,0.02127893916292797,0.0142457163178114,1.4937079110808167
Virginia,3,Midwest,0.009952,0.025423347907319923,0.01614053916292797,0.0073918248160558565,2.1835662457623375
Nebraska,4,South,0.008066,0.018361306821953277,0.012184122728781312,0.002696678737609753,4.518195867699434
Alabama,4,Midwest,0.005901,0.02132280792226832,0.012069723168907328,0.004416662910149108,2.7327698342502327
Vanderbilt,5,South,0.010418,0.012960922462555254,0.011435168985022101,0.0025544319394148847,4.476599594836506
Arkansas,4,West,0.007845,0.01612212306317849,0.011155849225271394,0.012259269833160533,0.9099929585606756
St. John's,5,East,0.006972,0.014369718382398217,0.009931087352959287,0.010559320420930314,0.9405044034154163
Kansas,4,East,0.004753,0.01612212306317849,0.009300649225271396,0.014096457353508335,0.6597862847403035
Texas Tech,5,Midwest,0.005067,0.012960922462555254,0.008224568985022102,0.0020735976919956122,3.966328192189898
Wisconsin,5,West,0.002805,0.012960922462555254,0.0068673689850221025,0.008268345579580573,0.8305614368588671
Tennessee,6,Midwest,0.006042,0.0,0.0036251999999999994,0.0023310443619680146,1.5551827580575845
Louisville,6,East,0.005465,0.0,0.0032790000000000002,0.0010878874847861037,3.0140984668508297
BYU,6,West,0.00186,0.0,0.001116,0.002557437153461255,0.4363743595769683
St. Mary's,7,South,0.001728,0.0,0.0010367999999999998,0.0006270879976759678,1.6533564728434502
UCLA,7,East,0.001681,0.0,0.0010086,0.0025003380865802165,0.40338544831730766
Ohio St.,8,East,0.001393,0.0,0.0008357999999999999,0.0019443734880016828,0.429855686244204
Iowa,9,South,0.001284,0.0,0.0007704,0.0007833591280872313,0.9834569769820972
Kentucky,7,Midwest,0.000874,0.0,0.0005244,0.0034309527029396,0.15284384408759125
Miami (FL),7,West,0.000803,0.0,0.0004818,0.0017139737444466147,0.2811011554646406
North Carolina,6,South,0.000695,0.0,0.000417,0.004433692456411875,0.09405253163126977
Utah St.,9,West,0.00056,0.0,0.000336,0.001,0.33599999999999997
Villanova,8,West,0.000459,0.0,0.00027539999999999997,0.00152664873555619,0.18039513188976375
Georgia,8,Midwest,0.000445,0.0,0.000267,0.001049821440198745,0.25432896469465643
Clemson,8,South,0.000336,0.0,0.0002016,0.0008264338627518744,0.24393966545454548
Santa Clara,10,Midwest,0.000287,0.0,0.00017219999999999998,0.0004788307713883588,0.359626010460251
Texas A&M,10,South,0.000216,0.0,0.00012959999999999998,0.0008063991024427382,0.16071446459627325
Saint Louis,9,Midwest,0.000161,0.0,9.66e-05,0.0006982113967734018,0.1383535136298422
TCU,9,East,0.000136,0.0,8.159999999999999e-05,0.000504875959790236,0.16162385714285715
VCU,11,South,0.000118,0.0,7.08e-05,0.00036763785167265203,0.19258082288828338
South Florida,11,East,7e-05,0.0,4.2e-05,0.00046180122512559294,0.09094822125813448
Missouri,10,West,5.8e-05,0.0,3.48e-05,0.0006210775695832269,0.056031648387096775
UCF,10,East,5.5e-05,0.0,3.3e-05,0.0003706430657190225,0.08903444594594595
Northern Iowa,12,East,1.6e-05,0.0,9.6e-06,0.000334580497162577,0.02869264670658683
McNeese,12,South,1.4e-05,0.0,8.4e-06,0.0004237351805382338,0.019823702127659576
Akron,12,Midwest,8e-06,0.0,4.8e-06,0.0004187264904609497,0.011463330143540671
Hofstra,13,Midwest,4e-06,0.0,2.4e-06,0.00033558223517803385,0.007151749253731344
California Baptist,13,East,2e-06,0.0,1.2e-06,0.0002684657881424271,0.0044698432835820895
High Point,12,West,0.0,0.0,0.0,0.00033357875914712023,0.0
North Dakota State,14,East,0.0,0.0,0.0,0.0002874988104361066,0.0
Hawaii,13,West,0.0,0.0,0.0,0.0005940306431658928,0.0
Troy,13,South,0.0,0.0,0.0,0.0002624553600496862,0.0
Siena,16,East,0.0,0.0,0.0,0.00044877863092465426,0.0
Wright St.,14,Midwest,0.0,0.0,0.0,0.001,0.0
Penn,14,South,0.0,0.0,0.0,0.001,0.0
Idaho,15,South,0.0,0.0,0.0,0.0003275683310543793,0.0
Furman,15,East,0.0,0.0,0.0,0.000252437979895118,0.0
Kennesaw State,14,West,0.0,0.0,0.0,0.00025945014600331577,0.0
Queens,15,West,0.0,0.0,0.0,0.0003085353087606998,0.0
Tennessee State,15,Midwest,0.0,0.0,0.0,0.0003135439988379839,0.0
LIU,16,West,0.0,0.0,0.0,0.001,0.0
